"netustm","gender","age","married","urban","native","edulevel","paidwork","happy","household","cntry"
30,"female",24,"not married","rural","native","Kort/Mellemlang videregående",1,8,3,"BE"
180,"male",71,"married","rural","native","Kort/Mellemlang videregående",0,8,2,"BE"
240,"male",30,"not married","rural","non-native","Erhvervsuddannelse",1,7,8,"BE"
270,"male",19,"not married","rural","native","Gymnasium",0,7,4,"BE"
30,"female",39,"married","rural","native","Kort/Mellemlang videregående",1,8,2,"BE"
300,"male",28,"not married","rural","non-native","Kort/Mellemlang videregående",1,8,4,"BE"
180,"male",46,"married","rural","native","Erhvervsuddannelse",1,7,3,"BE"
10,"male",35,"not married","urban","native","Erhvervsuddannelse",0,7,4,"BE"
300,"female",64,"married","rural","native","Gymnasium",0,7,2,"BE"
180,"female",59,"not married","rural","native","Erhvervsuddannelse",1,8,1,"BE"
120,"male",65,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
30,"male",25,"not married","urban","native","Lang videregående",1,8,3,"BE"
120,"female",49,"married","rural","native","Erhvervsuddannelse",1,8,3,"BE"
10,"male",23,"not married","urban","native","Kort/Mellemlang videregående",0,9,6,"BE"
NA,"female",86,"not married","rural","native","Grundskole",0,8,1,"BE"
8,"female",55,"married","rural","native","Kort/Mellemlang videregående",1,8,2,"BE"
NA,"female",39,"married","rural","non-native","Kort/Mellemlang videregående",1,10,2,"BE"
15,"male",74,"married","rural","native","Kort/Mellemlang videregående",0,7,2,"BE"
60,"male",53,"married","rural","native","Erhvervsuddannelse",1,6,3,"BE"
150,"female",37,"not married","rural","native","Kort/Mellemlang videregående",1,9,2,"BE"
60,"female",72,"not married","rural","native","Kort/Mellemlang videregående",0,7,1,"BE"
10,"female",27,"not married","rural","native","Lang videregående",1,8,1,"BE"
120,"female",62,"married","rural","native","Gymnasium",0,7,2,"BE"
6,"male",25,"not married","rural","non-native","Erhvervsuddannelse",1,7,7,"BE"
6,"female",51,"married","urban","native","Lang videregående",1,10,2,"BE"
9,"female",36,"married","rural","native","Kort/Mellemlang videregående",1,8,5,"BE"
60,"male",72,"married","urban","native","Gymnasium",0,8,3,"BE"
60,"female",17,"not married","rural","native","Erhvervsuddannelse",0,8,5,"BE"
NA,"male",49,"married","urban","non-native","Grundskole",1,2,3,"BE"
7,"male",18,"not married","rural","native","Erhvervsuddannelse",0,7,4,"BE"
60,"female",37,"not married","urban","non-native","Kort/Mellemlang videregående",1,10,1,"BE"
240,"female",18,"not married","rural","native","Erhvervsuddannelse",0,9,2,"BE"
150,"female",58,"married","rural","native","Kort/Mellemlang videregående",0,7,2,"BE"
10,"male",41,"married","urban","native","Lang videregående",1,9,3,"BE"
180,"female",63,"married","rural","native","Kort/Mellemlang videregående",0,1,2,"BE"
30,"male",42,"not married","rural","native","Kort/Mellemlang videregående",1,8,4,"BE"
180,"male",73,"not married","rural","native","Kort/Mellemlang videregående",0,9,1,"BE"
240,"female",23,"not married","urban","native","Erhvervsuddannelse",0,8,7,"BE"
NA,"male",63,"not married","rural","non-native","Gymnasium",0,7,1,"BE"
120,"female",68,"not married","urban","native","Erhvervsuddannelse",0,7,1,"BE"
NA,"female",50,"not married","rural","native","Lang videregående",1,8,1,"BE"
120,"female",55,"married","rural","native","Erhvervsuddannelse",1,8,2,"BE"
60,"female",48,"married","urban","native","Gymnasium",1,8,3,"BE"
8,"male",54,"married","rural","native","Lang videregående",1,7,2,"BE"
NA,"male",20,"not married","rural","native","Erhvervsuddannelse",0,10,4,"BE"
120,"male",40,"not married","rural","native","Erhvervsuddannelse",1,8,4,"BE"
60,"female",41,"married","rural","native","Gymnasium",1,9,3,"BE"
10,"male",48,"not married","rural","native","Lang videregående",1,9,5,"BE"
NA,"male",60,"not married","rural","native","Gymnasium",1,8,2,"BE"
60,"female",67,"married","rural","native","Erhvervsuddannelse",1,8,2,"BE"
NA,"female",57,"not married","rural","non-native","Erhvervsuddannelse",0,7,1,"BE"
59,"female",23,"not married","urban","native","Erhvervsuddannelse",1,8,3,"BE"
105,"male",49,"married","urban","non-native","Erhvervsuddannelse",0,6,5,"BE"
8,"female",45,"married","rural","native","Kort/Mellemlang videregående",1,8,4,"BE"
115,"female",55,"not married","urban","non-native","Kort/Mellemlang videregående",1,9,2,"BE"
120,"male",37,"not married","rural","non-native","Lang videregående",1,8,1,"BE"
180,"female",35,"married","urban","non-native","Erhvervsuddannelse",0,5,3,"BE"
60,"male",59,"married","rural","native","Kort/Mellemlang videregående",1,8,4,"BE"
120,"female",73,"not married","rural","native","Kort/Mellemlang videregående",0,9,1,"BE"
180,"male",59,"married","rural","native","Lang videregående",1,9,3,"BE"
300,"female",16,"not married","urban","native","Gymnasium",0,8,3,"BE"
60,"female",68,"married","rural","native","Erhvervsuddannelse",0,10,2,"BE"
NA,"female",83,"not married","urban","native","Erhvervsuddannelse",0,5,1,"BE"
10,"female",35,"not married","urban","non-native","Lang videregående",1,4,2,"BE"
10,"male",32,"not married","rural","native","Erhvervsuddannelse",1,8,1,"BE"
NA,"female",70,"not married","urban","native","Grundskole",0,10,2,"BE"
60,"male",42,"not married","rural","native","Erhvervsuddannelse",1,5,4,"BE"
10,"female",30,"not married","urban","native","Lang videregående",1,9,1,"BE"
10,"male",34,"not married","urban","native","Kort/Mellemlang videregående",1,10,2,"BE"
6,"male",41,"not married","rural","native","Erhvervsuddannelse",1,9,4,"BE"
NA,"female",32,"not married","rural","native","Gymnasium",0,10,5,"BE"
210,"male",22,"not married","rural","native","Erhvervsuddannelse",0,6,4,"BE"
60,"male",78,"married","rural","native","Kort/Mellemlang videregående",0,8,3,"BE"
150,"male",58,"not married","urban","native","Erhvervsuddannelse",1,8,1,"BE"
60,"male",76,"married","urban","non-native","Lang videregående",0,5,2,"BE"
60,"male",64,"married","rural","native","Kort/Mellemlang videregående",0,8,2,"BE"
120,"male",37,"married","rural","native","Lang videregående",1,10,4,"BE"
NA,"female",82,"not married","urban","native","Erhvervsuddannelse",0,5,1,"BE"
8,"female",52,"not married","rural","native","Kort/Mellemlang videregående",1,6,3,"BE"
90,"female",75,"married","urban","non-native","Erhvervsuddannelse",0,10,2,"BE"
300,"female",17,"not married","urban","native","Gymnasium",0,7,2,"BE"
8,"female",28,"married","urban","native","Lang videregående",1,8,2,"BE"
30,"female",59,"married","rural","native","Erhvervsuddannelse",1,5,2,"BE"
30,"male",53,"not married","rural","native","Erhvervsuddannelse",1,7,3,"BE"
60,"female",43,"not married","rural","native","Erhvervsuddannelse",1,8,4,"BE"
60,"female",61,"not married","rural","native","Erhvervsuddannelse",0,7,2,"BE"
180,"male",38,"married","rural","native","Erhvervsuddannelse",0,8,4,"BE"
60,"male",63,"married","urban","native","Lang videregående",1,8,2,"BE"
120,"male",73,"married","rural","non-native","Lang videregående",0,7,2,"BE"
240,"male",19,"not married","rural","native","Erhvervsuddannelse",0,5,3,"BE"
NA,"male",64,"not married","rural","non-native","Kort/Mellemlang videregående",0,5,2,"BE"
NA,"female",73,"not married","rural","native","Gymnasium",0,8,2,"BE"
60,"male",74,"not married","rural","native","Grundskole",0,7,2,"BE"
180,"male",16,"not married","urban","native","Gymnasium",0,9,7,"BE"
60,"female",56,"not married","rural","native","Erhvervsuddannelse",1,3,2,"BE"
330,"male",20,"not married","rural","native","Erhvervsuddannelse",0,9,4,"BE"
NA,"female",73,"not married","rural","native","Grundskole",0,3,1,"BE"
300,"male",19,"not married","rural","non-native","Erhvervsuddannelse",0,9,4,"BE"
NA,"male",57,"not married","rural","native","Gymnasium",0,3,2,"BE"
NA,"male",73,"married","rural","native","Gymnasium",0,8,2,"BE"
25,"male",61,"married","urban","native","Gymnasium",0,10,2,"BE"
NA,"female",87,"married","rural","native","Gymnasium",0,8,2,"BE"
6,"female",28,"not married","rural","native","Lang videregående",1,7,2,"BE"
60,"male",67,"married","rural","native","Lang videregående",0,8,2,"BE"
9,"male",35,"not married","rural","native","Lang videregående",1,8,3,"BE"
240,"male",65,"not married","rural","native","Gymnasium",0,10,1,"BE"
60,"male",57,"married","rural","native","Lang videregående",1,8,5,"BE"
300,"female",29,"married","rural","native","Kort/Mellemlang videregående",1,8,2,"BE"
120,"male",38,"married","rural","non-native","Lang videregående",1,8,4,"BE"
NA,"female",78,"married","urban","native","Erhvervsuddannelse",0,10,2,"BE"
60,"male",56,"not married","rural","native","Kort/Mellemlang videregående",0,6,2,"BE"
300,"male",33,"married","urban","non-native","Kort/Mellemlang videregående",1,7,3,"BE"
120,"female",59,"married","rural","native","Lang videregående",1,9,2,"BE"
60,"male",63,"married","rural","native","Gymnasium",0,8,2,"BE"
6,"male",34,"not married","rural","native","Kort/Mellemlang videregående",1,7,2,"BE"
60,"female",51,"married","rural","native","Kort/Mellemlang videregående",1,9,3,"BE"
NA,"female",74,"married","rural","native","Kort/Mellemlang videregående",0,9,2,"BE"
NA,"female",29,"married","rural","native","Gymnasium",0,8,4,"BE"
120,"female",56,"married","rural","native","Kort/Mellemlang videregående",1,8,4,"BE"
120,"male",61,"not married","rural","native","Lang videregående",1,10,2,"BE"
300,"female",20,"not married","urban","native","Erhvervsuddannelse",0,8,3,"BE"
6,"female",43,"not married","rural","native","Lang videregående",1,8,4,"BE"
6,"male",17,"not married","rural","native","Gymnasium",0,7,5,"BE"
120,"female",32,"married","rural","non-native","Erhvervsuddannelse",0,9,6,"BE"
10,"female",23,"married","rural","native","Kort/Mellemlang videregående",1,10,3,"BE"
210,"female",26,"not married","rural","native","Lang videregående",1,7,6,"BE"
NA,"female",76,"married","rural","native","Kort/Mellemlang videregående",0,8,2,"BE"
NA,"male",65,"married","rural","non-native","Erhvervsuddannelse",0,8,2,"BE"
90,"male",57,"married","rural","native","Erhvervsuddannelse",1,8,2,"BE"
NA,"female",82,"not married","rural","native","Erhvervsuddannelse",0,8,1,"BE"
210,"male",44,"not married","rural","native","Erhvervsuddannelse",1,9,4,"BE"
150,"male",37,"married","rural","non-native","Lang videregående",1,9,4,"BE"
180,"female",55,"married","rural","native","Lang videregående",1,8,3,"BE"
1,"male",42,"not married","rural","native","Gymnasium",1,8,2,"BE"
8,"female",54,"not married","urban","non-native","Kort/Mellemlang videregående",1,8,4,"BE"
120,"female",58,"married","urban","non-native","Kort/Mellemlang videregående",0,8,1,"BE"
300,"female",18,"not married","rural","native","Gymnasium",0,10,5,"BE"
NA,"male",58,"not married","rural","native","Kort/Mellemlang videregående",0,7,1,"BE"
90,"female",37,"married","urban","native","Lang videregående",1,9,5,"BE"
270,"male",18,"not married","rural","native","Gymnasium",0,6,7,"BE"
10,"male",29,"not married","rural","native","Kort/Mellemlang videregående",1,9,3,"BE"
NA,"female",59,"not married","rural","native","Kort/Mellemlang videregående",0,8,2,"BE"
9,"male",24,"not married","rural","native","Erhvervsuddannelse",0,4,2,"BE"
120,"male",65,"married","urban","native","Erhvervsuddannelse",0,7,3,"BE"
15,"male",77,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
60,"female",62,"married","rural","native","Gymnasium",0,8,2,"BE"
120,"female",42,"not married","rural","native","Kort/Mellemlang videregående",0,8,3,"BE"
120,"female",42,"not married","rural","native","Kort/Mellemlang videregående",1,7,1,"BE"
8,"female",61,"not married","rural","non-native","Kort/Mellemlang videregående",1,8,1,"BE"
180,"female",17,"not married","rural","native","Gymnasium",0,8,4,"BE"
30,"male",73,"married","rural","native","Kort/Mellemlang videregående",0,8,2,"BE"
240,"female",53,"not married","rural","native","Erhvervsuddannelse",0,4,1,"BE"
120,"female",50,"not married","rural","native","Erhvervsuddannelse",1,9,1,"BE"
120,"female",67,"not married","rural","native","Gymnasium",0,9,1,"BE"
210,"female",21,"not married","urban","native","Erhvervsuddannelse",0,3,4,"BE"
10,"male",36,"married","rural","non-native","Erhvervsuddannelse",1,10,5,"BE"
NA,"female",65,"married","rural","native","Gymnasium",0,7,2,"BE"
90,"female",32,"not married","rural","native","Erhvervsuddannelse",1,9,4,"BE"
60,"female",43,"not married","rural","native","Kort/Mellemlang videregående",1,9,4,"BE"
240,"female",43,"married","rural","native","Erhvervsuddannelse",1,10,4,"BE"
180,"female",20,"not married","rural","native","Kort/Mellemlang videregående",0,6,6,"BE"
150,"male",69,"married","urban","native","Gymnasium",0,7,2,"BE"
NA,"male",77,"married","rural","native","Gymnasium",0,9,2,"BE"
NA,"male",55,"not married","rural","native","Gymnasium",1,10,2,"BE"
61,"male",49,"not married","rural","native","Gymnasium",1,8,2,"BE"
NA,"female",78,"not married","urban","native","Grundskole",0,7,1,"BE"
7,"female",41,"married","rural","non-native","Lang videregående",1,9,4,"BE"
180,"female",27,"not married","rural","native","Lang videregående",1,8,5,"BE"
NA,"male",77,"married","urban","native","Lang videregående",0,7,2,"BE"
60,"male",58,"married","rural","native","Gymnasium",1,7,4,"BE"
180,"female",48,"not married","rural","native","Lang videregående",1,8,3,"BE"
NA,"male",76,"married","rural","native","Gymnasium",0,7,2,"BE"
120,"male",52,"married","rural","non-native","Kort/Mellemlang videregående",1,8,3,"BE"
180,"female",18,"not married","urban","non-native","Gymnasium",0,10,8,"BE"
8,"female",41,"not married","rural","native","Erhvervsuddannelse",0,7,1,"BE"
9,"female",34,"not married","urban","native","Lang videregående",1,6,3,"BE"
30,"female",18,"not married","rural","native","Gymnasium",0,9,1,"BE"
10,"male",52,"married","rural","native","Lang videregående",1,10,4,"BE"
60,"female",42,"not married","rural","non-native","Kort/Mellemlang videregående",1,8,3,"BE"
120,"female",36,"married","rural","non-native","Erhvervsuddannelse",0,7,5,"BE"
120,"female",60,"married","rural","native","Erhvervsuddannelse",1,9,2,"BE"
